sparknom;sparkadresse1;sparkadresse2;sparkcp;sparkdescription;svillnom;svehinumimma;image;smodenom;smarqnom;icapacite;bvehielectrique;bdisponiblevehicule;geo_location;options
Vieux Doulon;5 Boulevard du Manoir Saint-Lô;;44300;"A côté de l'arrêt de bus, en face de la Caisse d'Epargne Vieux Doulon 
 
	Tan - Arrêt Vieux Doulon 
 
	Bus lignes 12 et 87";Nantes;FZ-925-DZ;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/abc1acec2ef95b7e693c4305068799f5;Clio V Hybride Automatique;Renault;5;non;oui;47.23558,-1.50426;Bluetooth
Manufacture;11 Boulevard Stalingrad;;44000;"Face à la Manufacture des tabacs

TAN - Arrêt Manufacture
	Tram ligne 1


bicloo - Station n°69 Manufacture";Nantes;EG-824-KW;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/9a1b60aaa3d79ec25d2dac1f96293b8a;Clio IV;Renault;5;non;oui;47.21905,-1.53615;
Hôtel De Ville (Voiture + Camion);Place de l'hotel de Ville;;44000;"A l'angle de la rue du Général Leclerc
	de hauteclocque

TAN - Arrêt Hôtel de Ville
	Bus lignes 11 et 12
	Chronobus lignes C1 et C6

bicloo - Station n°2 Hotel de Ville ou n°4 Moulin";Nantes;EW-925-CD;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/ffda9ba429116fcd768b09e0139d5b15;208;Peugeot;5;non;non;47.21773,-1.55415;Bluetooth
Zola (Voiture + Camion);110 boulevard de l'Egalité;;44000;"En face de Monceau Fleurs

TAN - Arrêt Zola
	Bus lignes 10,11 et 23";Nantes;FA-693-KH;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/6c3da93d8c2e95dc251cf9b6163ca0f1;Kangoo;Renault;2;non;non;47.21297,-1.58613;
Picasso;9 mail Pablo Picasso;;44000;"9 mail Pablo Picasso
	Devant le restaurant B Chef

	TAN : Arrêt Picasso (Chronobus lignes C3 et C5)
	BICLOO : Station n°10 Picasso";Nantes;DZ-168-YE;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/abdbe0e6aec95678c55ac2148c99fbf8;Twingo 3;Renault;4;non;oui;47.2161,-1.53448;Siège Bébé
Longchamp;83 Route de Vannes;;44100;"83 Route de Vannes 

	TAN : Arrêt Longchamp (Tram ligne 3) 
 
	A quelques centaines de mètres de la station Beauséjour (Tram ligne 3, Bus ligne 12,C20, 59, 79, 89 et 96) 
 
	BICLOO : Station la plus proche n°91 au Rond-Point de Vannes";Nantes;EG-910-KX;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/eb1f3f6be15a74ac6542d0fdced3dac0;Clio IV;Renault;5;non;oui;47.23555,-1.58357;"Siège Bébé;Réhausseur"
Procé;3 boulevard Paul Chabas;;44100;"3 boulevard Paul Chabas  
 
	Proche rond point Poincaré 
 
	  
 
	Tan:  Arrêt Poincaré ligne C3, C6 et 10";Nantes;EW-655-ZJ;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/27418af287cd120cbf70d1148c2a27eb;208;Peugeot;5;non;oui;47.2221,-1.58611;"Bluetooth;Siège Bébé;Réhausseur"
Machines De L'île;42 rue de la Tour d'Auvergne;;44200;"42 rue de la Tour d'Auvergne 
 
	Au pied d'Atlanbois 
 
	Tan : arrêt Chantiers Navals (ligne 1), Chronobus C5 arrêt Prairie au Duc 
 
	Bicloo : station n° 43, Machines de l'île";Nantes;EW-685-CC;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/93b5d1ce634ef741fd59459157052b51;208;Peugeot;5;non;oui;47.20564,-1.56312;
Recteur Schmitt;Rue Recteur Schmitt;Parking P+R;44300;"TAN - Arrêt Recteur Schmitt 
 
	Bus lignes 26 - 66 -75 - 80 - E5

	Tram ligne 2";Nantes;FX-659-TB;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/a72fc1c6e57e232fc0004b98aefa0da8;Clio V Hybride Automatique;Renault;5;non;oui;47.25201,-1.55259;Bluetooth
Manufacture;11 Boulevard Stalingrad;;44000;"Face à la Manufacture des tabacs

TAN - Arrêt Manufacture
	Tram ligne 1


bicloo - Station n°69 Manufacture";Nantes;EG-415-KY;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/41122f949bde033ad9a00711029305af;Clio IV;Renault;5;non;oui;47.21905,-1.53615;
Rond-Point De Rennes;6 Boulevard LELASSEUR;;44000;"6 Boulevard LELASSEUR 
 
	En face de l'agence Banque Populaire Atlantique 
 
	- tan : Arrêt Rond-Point de Rennes (Bus lignes 10, 12, 23, 26 et Chronobus ligne C2) 
 
	- bicloo : Station n° 92 Rond-Point Rennes";Nantes;EG-460-KX;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/ff60033b1e0a84d622f42f742fd59ddb;Clio IV;Renault;5;non;oui;47.23305,-1.5662;"Siège Bébé;Réhausseur"
Place Mangin;Entre bd des Martyrs et bld Victor Hugo;;44000;"TAN - Arrêt Mangin
	Tram lignes 2 et 3
	Bus ligne 26

bicloo - Station n°81 Mangin";Nantes;EV-011-ZS;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/14989dcff872b49bbff0b227453ad714;208;Peugeot;5;non;oui;47.20088,-1.54487;Réhausseur
Saint Clément;37 Rue Maréchal Joffre;;44000;"37 Rue Maréchal Joffre 
 
	Devant le Musée des Sapeurs-Pompier de Loire-Atlantique 
 
	Arrêts TAN :
	Arrêt Trébuchet (Chronobus ligne C1, Bus lignes 11 et 12)
	Arrêt St-Clément (Chronobus ligne C1) 
 
	Arrêt bicloo :
	Station n°64 Saint-Clément";Nantes;DV-513-YP;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/a586e98ffba09576c88b9dd3ccd78b47;Twingo 3;Renault;4;non;oui;47.222,-1.54682;
